Serie,Modelo,MAE,RMSE,sMAPE,Processing Time
Impo 1,"SARIMAX ([1, 2, 4, 5, 6], 0, [1, 2, 3])",1020.6408732121126,1275.6666355532047,0.2909355383527329,5.487
Impo 2,"SARIMAX ([1, 2], 0, [3, 4, 5])",814.9037212644013,916.4537295580034,0.728609525822275,4.5677
Impo 3,"SARIMAX ([1, 2], 0, [5])",42.91235214557226,77.23703825893566,1.431710025705919,3.6963
Impo 4,"SARIMAX ([2], 0, [1])",185.7796297988615,213.9527500807889,0.8122573972867686,1.3832
Impo 5,"SARIMAX ([2], 0, [2])",413.9466601893897,609.9007533798148,0.859657185796058,3.0766
Impo 6,"SARIMAX ([1], 0, [1])",357.3097634966639,428.3515232483389,0.4829831139969446,0.7666
Impo 7,"SARIMAX ([1, 2], 0, [10])",141.68743216956983,183.72124553841945,0.3421073273038587,13.6703
Expo 1,"SARIMAX ([2], 0, [1])",1081.461875391061,1263.5940237789,0.6122678053453672,5.4305
Expo 2,"SARIMAX ([2], 0, [1])",651.4484708965774,939.7101087468928,1.3406199588235808,6.3007
Expo 3,"SARIMAX ([3], 0, [1])",199.79589396242253,367.5193776622816,0.3679419935862115,5.9424
Expo 4,"SARIMAX ([1, 2], 1, [2])",96.73239629887956,137.01033396826242,0.7268318309932145,2.5775
Impo 1,LinearRegression,924.7788199374328,1111.3812982676295,0.2572781036249726,2.7495
Impo 1,XGBRegressor,762.8416631789435,965.2391368177786,0.2098691108378285,2.7495
Impo 1,RandomForestRegressor,839.4977619047613,1140.3217430355633,0.2251955485578821,2.7495
Impo 2,LinearRegression,780.0234195925287,908.7297189627126,0.7100060290231001,2.7053
Impo 2,XGBRegressor,1093.8108203706288,1268.462481497333,0.8275497023410692,2.7053
Impo 2,RandomForestRegressor,768.1947142857141,887.8393819412487,0.706766083847678,2.7053
Impo 3,LinearRegression,64.93669338072088,96.91504221696631,1.9999999999111613,2.702
Impo 3,XGBRegressor,75.6221703018461,105.299899867682,1.935442764029696,2.702
Impo 3,RandomForestRegressor,84.02088095238094,111.31095051152232,1.9436256697636565,2.702
Impo 4,LinearRegression,249.26119931285217,299.9292384687421,0.865362271752266,2.6963
Impo 4,XGBRegressor,288.6734181722005,354.35016767569414,0.9048463946435276,2.6963
Impo 4,RandomForestRegressor,329.06321428571425,380.9679875182303,0.9702168417971756,2.6963
Impo 5,LinearRegression,536.8849042586742,803.7811948905661,1.585841685788649,2.7328
Impo 5,XGBRegressor,419.312640949431,546.673558094371,0.8922022790877843,2.7328
Impo 5,RandomForestRegressor,374.5150238095241,522.8043791576468,0.8073630141246964,2.7328
Impo 6,LinearRegression,279.146924534359,361.4621838532628,0.3442644381521932,0.7679
Impo 6,XGBRegressor,306.35525207519527,376.624281328823,0.3701313601912346,0.7679
Impo 6,RandomForestRegressor,311.39071249999995,389.27426622174914,0.3755387186463718,0.7679
Impo 7,LinearRegression,159.96304616779915,196.5239343653744,0.3709295729740263,2.7417
Impo 7,XGBRegressor,205.32683308919263,244.92749342539423,0.4474551229361547,2.7417
Impo 7,RandomForestRegressor,222.5860476190475,261.81799484537044,0.469045141452116,2.7417
Expo 1,LinearRegression,1847.7443873484165,2159.545605828638,0.7993164456611643,2.6861
Expo 1,XGBRegressor,1559.93828171503,1860.212396073328,0.7258864390275911,2.6861
Expo 1,RandomForestRegressor,2554.76658809524,2746.669053204524,0.9608056329194994,2.6861
Expo 2,LinearRegression,714.0254710558474,854.429805318488,1.3903099813969677,2.8609
Expo 2,XGBRegressor,558.4883144850958,784.4323625762893,1.34327933863454,2.8609
Expo 2,RandomForestRegressor,717.4570023809523,845.3391964807778,1.3937912850131478,2.8609
Expo 3,LinearRegression,204.03622804937245,378.4335533255196,0.3714351018338044,2.6909
Expo 3,XGBRegressor,203.6436856897866,368.02901010306414,0.3731894043449319,2.6909
Expo 3,RandomForestRegressor,193.6837804878048,373.0012653845337,0.3454743825581656,2.6909
Expo 4,LinearRegression,189.22285994560647,223.99291481122805,0.9294926062526836,3.2103
Expo 4,XGBRegressor,368.0727539425805,407.98732353196056,1.2143765578110273,3.2103
Expo 4,RandomForestRegressor,409.7057857142858,451.9127204560898,1.240489417600945,3.2103
Expo 5,LinearRegression,76.63283182293935,120.24501016793644,0.3802537013392393,2.6867
Expo 5,XGBRegressor,118.1318372453962,155.23482275295075,0.5150835038207935,2.6867
Expo 5,RandomForestRegressor,81.37991666666662,115.12362432493308,0.3952155541841088,2.6867
impo_1,Nixtla Conjunto: LinearRegression,3797.7603045422256,3817.171214050784,1.9995790055402591,4.5768
impo_1,Nixtla Conjunto: XGBRegressor,3353.434322604838,3421.345323683829,1.9995149360622952,4.5768
impo_1,Nixtla Conjunto: RandomForestRegressor,3164.13159418687,3197.8294823646734,1.9994933920916496,4.5768
impo_2,Nixtla Conjunto: LinearRegression,1325.8049115493786,1362.4619829619082,1.99974322376743,4.5768
impo_2,Nixtla Conjunto: XGBRegressor,2333.367569541985,2624.201407005834,1.999854264375124,4.5768
impo_2,Nixtla Conjunto: RandomForestRegressor,1659.5765999374926,1680.3458607650423,1.9998406958155,4.5768
impo_3,Nixtla Conjunto: LinearRegression,887.5360337981843,938.2228623142736,1.9999795222195849,4.5768
impo_3,Nixtla Conjunto: XGBRegressor,547.2845547487401,557.9975692405611,1.9999752317381527,4.5768
impo_3,Nixtla Conjunto: RandomForestRegressor,646.1395398024509,662.4562205369041,1.9999780951908883,4.5768
impo_4,Nixtla Conjunto: LinearRegression,770.7909990305801,811.70761170799,1.99989203484232,4.5768
impo_4,Nixtla Conjunto: XGBRegressor,434.5238818444479,441.44401822077305,1.9998599617723187,4.5768
impo_4,Nixtla Conjunto: RandomForestRegressor,438.7123687170063,452.7654120891776,1.9998441322113292,4.5768
impo_5,Nixtla Conjunto: LinearRegression,1043.2514359251927,1057.261367219892,1.9995494253086905,4.5768
impo_5,Nixtla Conjunto: XGBRegressor,730.5395833713584,756.1886094679023,1.9992996869653912,4.5768
impo_5,Nixtla Conjunto: RandomForestRegressor,771.7588684616902,788.8898491212326,1.999358587103744,4.5768
impo_6,Nixtla Conjunto: LinearRegression,189.6567994968633,192.31073251414307,1.9981137775804003,4.5768
impo_6,Nixtla Conjunto: XGBRegressor,144.83046204530086,228.35382226002287,1.9937151860784563,4.5768
impo_6,Nixtla Conjunto: RandomForestRegressor,94.8418678516855,110.5191194793786,1.992017712389678,4.5768
impo_7,Nixtla Conjunto: LinearRegression,921.50584075164,938.996213584301,1.99976624235456,4.5768
impo_7,Nixtla Conjunto: XGBRegressor,616.6492561615919,626.8470026350736,1.9996682182736631,4.5768
impo_7,Nixtla Conjunto: RandomForestRegressor,475.3740468866895,480.6424379065664,1.9995853285609064,4.5768
expo_1,Nixtla Conjunto: LinearRegression,2024.5062763704475,2025.8409074487024,1.9996870019073247,4.5768
expo_1,Nixtla Conjunto: XGBRegressor,2281.493813753358,2303.5458622769324,1.9997195239901369,4.5768
expo_1,Nixtla Conjunto: RandomForestRegressor,2499.5599907650767,2569.2527624621125,1.9997425758963343,4.5768
expo_2,Nixtla Conjunto: LinearRegression,873.7903591386992,892.8855946575138,1.999702179701575,4.5768
expo_2,Nixtla Conjunto: XGBRegressor,1362.7142835517436,1615.6036047145649,1.9997048517817144,4.5768
expo_2,Nixtla Conjunto: RandomForestRegressor,1124.5482828107763,1213.4042904224432,1.9997328430549075,4.5768
expo_3,Nixtla Conjunto: LinearRegression,1025.019108947443,1032.64508864649,1.9997181317496089,4.5768
expo_3,Nixtla Conjunto: XGBRegressor,506.7766022813742,510.7622197299138,1.999486273049656,4.5768
expo_3,Nixtla Conjunto: RandomForestRegressor,615.2167258238547,618.3743455614533,1.999562278087054,4.5768
expo_4,Nixtla Conjunto: LinearRegression,925.6312176620876,941.25017404139,1.9999611561143475,4.5768
expo_4,Nixtla Conjunto: XGBRegressor,463.871322419932,465.450605532748,1.9999260681670912,4.5768
expo_4,Nixtla Conjunto: RandomForestRegressor,705.8610297978619,719.3706553077977,1.9999488679543185,4.5768
expo_5,Nixtla Conjunto: LinearRegression,883.2106316485169,915.967127215295,1.999887189955536,4.5768
expo_5,Nixtla Conjunto: XGBRegressor,464.3798319555027,473.7600210312798,1.9998018032672555,4.5768
expo_5,Nixtla Conjunto: RandomForestRegressor,592.6732185033541,593.6945261855191,1.9998510516831995,4.5768
Impo 1,LinearRegression,924.7788199374329,1111.3812982676295,0.2572781036249726,3.0809
Impo 1,XGBRegressor,762.8416631789435,965.2391368177786,0.2098691108378285,3.0809
Impo 1,RandomForestRegressor,839.4977619047613,1140.3217430355633,0.22519554855788218,3.0809
Impo 2,LinearRegression,780.0234195925287,908.7297189627126,0.7100060290231001,3.2952
Impo 2,XGBRegressor,1093.8108203706288,1268.4624814973333,0.8275497023410692,3.2952
Impo 2,RandomForestRegressor,768.1947142857141,887.8393819412487,0.706766083847678,3.2952
Impo 3,LinearRegression,64.93669338072088,96.91504221696631,1.9999999999111613,3.0834
Impo 3,XGBRegressor,75.6221703018461,105.29989986768199,1.9354427640296958,3.0834
Impo 3,RandomForestRegressor,84.02088095238094,111.31095051152231,1.9436256697636565,3.0834
Impo 4,LinearRegression,249.26119931285217,299.9292384687421,0.865362271752266,3.0925
Impo 4,XGBRegressor,288.6734181722005,354.35016767569414,0.9048463946435275,3.0925
Impo 4,RandomForestRegressor,329.06321428571425,380.9679875182303,0.9702168417971757,3.0925
Impo 5,LinearRegression,536.8849042586742,803.7811948905661,1.585841685788649,2.9947
Impo 5,XGBRegressor,419.312640949431,546.673558094371,0.8922022790877843,2.9947
Impo 5,RandomForestRegressor,374.5150238095241,522.8043791576468,0.8073630141246964,2.9947
Impo 6,LinearRegression,279.146924534359,361.4621838532628,0.3442644381521932,0.8286
Impo 6,XGBRegressor,306.35525207519527,376.624281328823,0.3701313601912346,0.8286
Impo 6,RandomForestRegressor,311.39071249999995,389.27426622174914,0.37553871864637184,0.8286
Impo 7,LinearRegression,159.96304616779915,196.52393436537437,0.3709295729740263,3.1730
Impo 7,XGBRegressor,205.32683308919266,244.92749342539423,0.4474551229361547,3.1730
Impo 7,RandomForestRegressor,222.5860476190475,261.81799484537044,0.46904514145211607,3.1730
Expo 1,LinearRegression,1847.7443873484165,2159.545605828638,0.7993164456611643,2.8019
Expo 1,XGBRegressor,1559.93828171503,1860.2123960733281,0.7258864390275911,2.8019
Expo 1,RandomForestRegressor,2554.76658809524,2746.669053204524,0.9608056329194994,2.8019
Expo 2,LinearRegression,714.0254710558474,854.429805318488,1.3903099813969677,2.8709
Expo 2,XGBRegressor,558.4883144850958,784.4323625762893,1.3432793386345399,2.8709
Expo 2,RandomForestRegressor,717.4570023809523,845.3391964807778,1.3937912850131478,2.8709
Expo 3,LinearRegression,204.03622804937243,378.4335533255196,0.37143510183380446,2.9395
Expo 3,XGBRegressor,203.6436856897866,368.02901010306414,0.3731894043449319,2.9395
Expo 3,RandomForestRegressor,193.68378048780477,373.0012653845337,0.3454743825581656,2.9395
Expo 4,LinearRegression,189.22285994560647,223.99291481122805,0.9294926062526836,2.9411
Expo 4,XGBRegressor,368.07275394258045,407.98732353196056,1.2143765578110273,2.9411
Expo 4,RandomForestRegressor,409.7057857142858,451.9127204560898,1.2404894176009453,2.9411
Expo 5,LinearRegression,76.63283182293935,120.24501016793643,0.3802537013392393,3.0547
Expo 5,XGBRegressor,118.13183724539621,155.23482275295075,0.5150835038207935,3.0547
Expo 5,RandomForestRegressor,81.37991666666662,115.12362432493309,0.3952155541841088,3.0547
impo_1,Nixtla Conjunto: LinearRegression,0.07401435075671278,0.09258911735556152,0.19482611261010432,4.7981
impo_1,Nixtla Conjunto: XGBRegressor,0.07603323485544011,0.09696088419948767,0.19374903953234016,4.7981
impo_1,Nixtla Conjunto: RandomForestRegressor,0.07134639501892646,0.08676080110013418,0.18843965194920878,4.7981
impo_2,Nixtla Conjunto: LinearRegression,0.11567910756450357,0.12028757655924188,1.049376584137914,4.7981
impo_2,Nixtla Conjunto: XGBRegressor,0.2060210130828249,0.2549177947805795,1.1718712895967545,4.7981
impo_2,Nixtla Conjunto: RandomForestRegressor,0.12657742901691418,0.1361107885241537,1.0554749218297015,4.7981
impo_3,Nixtla Conjunto: LinearRegression,0.10035329453486977,0.10671621274163921,1.8616775178548082,4.7981
impo_3,Nixtla Conjunto: XGBRegressor,0.060821254495580526,0.06257632774855491,1.8246015110892095,4.7981
impo_3,Nixtla Conjunto: RandomForestRegressor,0.0723066981682309,0.07480504804820903,1.8453884745712277,4.7981
impo_4,Nixtla Conjunto: LinearRegression,0.08005354647865008,0.0867737729797071,1.5123175113100429,4.7981
impo_4,Nixtla Conjunto: XGBRegressor,0.04135043340528312,0.043067762815412795,1.3469100430995116,4.7981
impo_4,Nixtla Conjunto: RandomForestRegressor,0.04265331800468921,0.04502277555752799,1.3556486802934624,4.7981
impo_5,Nixtla Conjunto: LinearRegression,0.05542950172154513,0.07927411512720604,0.4714054869146366,4.7981
impo_5,Nixtla Conjunto: XGBRegressor,0.059764585441060836,0.0912934444994726,0.5315648170219556,4.7981
impo_5,Nixtla Conjunto: RandomForestRegressor,0.05541373977864479,0.0860776207409349,0.4934868686983018,4.7981
impo_6,Nixtla Conjunto: LinearRegression,0.0658660516238825,0.07157921889137793,1.1477854011374131,4.7981
impo_6,Nixtla Conjunto: XGBRegressor,0.08370119023432769,0.09032248650873213,1.6465588815248526,4.7981
impo_6,Nixtla Conjunto: RandomForestRegressor,0.07795664274809516,0.08302744331393849,1.566787711660135,4.7981
impo_7,Nixtla Conjunto: LinearRegression,0.06221034280498713,0.06980082344964093,0.7916703960938166,4.7981
impo_7,Nixtla Conjunto: XGBRegressor,0.030467909585694952,0.035340852061598066,0.5206464128678779,4.7981
impo_7,Nixtla Conjunto: RandomForestRegressor,0.016918714810537486,0.0220954334962108,0.3310574935817673,4.7981
expo_1,Nixtla Conjunto: LinearRegression,0.11446497042632234,0.12673977846120457,0.6576319837058293,4.7981
expo_1,Nixtla Conjunto: XGBRegressor,0.1305865882886722,0.1487775180043479,0.6941788376517892,4.7981
expo_1,Nixtla Conjunto: RandomForestRegressor,0.14369670081724367,0.16916347016993644,0.7094501099598423,4.7981
expo_2,Nixtla Conjunto: LinearRegression,0.08788929621089173,0.09559054129467093,1.2638526049979961,4.7981
expo_2,Nixtla Conjunto: XGBRegressor,0.12974710313291865,0.16946200926831825,1.2727587191003382,4.7981
expo_2,Nixtla Conjunto: RandomForestRegressor,0.10683226811262488,0.12713266847454013,1.25658608257705,4.7981
expo_3,Nixtla Conjunto: LinearRegression,0.07612530478618294,0.08178320434080424,0.828574039464737,4.7981
expo_3,Nixtla Conjunto: XGBRegressor,0.02680461351701844,0.05158830583346925,0.3426915776848132,4.7981
expo_3,Nixtla Conjunto: RandomForestRegressor,0.035374492563012824,0.05391860107490893,0.46563764772145894,4.7981
expo_4,Nixtla Conjunto: LinearRegression,0.09905503531601395,0.10132886627238659,1.7025810107395678,4.7981
expo_4,Nixtla Conjunto: XGBRegressor,0.04540556768880332,0.04603758242657965,1.4793019846749165,4.7981
expo_4,Nixtla Conjunto: RandomForestRegressor,0.07352108637408244,0.07558588986528174,1.6217096743295543,4.7981
expo_5,Nixtla Conjunto: LinearRegression,0.08053669383978619,0.08599775941839083,1.2562505511069453,4.7981
expo_5,Nixtla Conjunto: XGBRegressor,0.03187493320083913,0.034749638191005426,0.8461291551674579,4.7981
expo_5,Nixtla Conjunto: RandomForestRegressor,0.046780671036763186,0.04758064471261327,1.0518427165852504,4.7981
