Guias_Fecha,y,ds
2019-01-06,680.0,2019-01-06
2019-01-13,505.3,2019-01-13
2019-01-20,1162.0,2019-01-20
2019-01-27,1172.5,2019-01-27
2019-02-03,947.5,2019-02-03
2019-02-10,579.0,2019-02-10
2019-02-17,3.5,2019-02-17
2019-02-24,407.0,2019-02-24
2019-03-03,1117.5,2019-03-03
2019-03-10,965.5,2019-03-10
2019-03-17,1090.0,2019-03-17
2019-03-24,1153.5,2019-03-24
2019-03-31,818.4,2019-03-31
2019-04-07,826.0,2019-04-07
2019-04-14,779.5,2019-04-14
2019-04-21,305.5,2019-04-21
2019-04-28,1949.9,2019-04-28
2019-05-05,1188.0,2019-05-05
2019-05-12,629.5,2019-05-12
2019-05-19,820.0,2019-05-19
2019-05-26,1069.0,2019-05-26
2019-06-02,889.5,2019-06-02
2019-06-09,865.0,2019-06-09
2019-06-16,886.5,2019-06-16
2019-06-23,534.3,2019-06-23
2019-06-30,1261.0,2019-06-30
2019-07-07,961.5,2019-07-07
2019-07-14,670.5,2019-07-14
2019-07-21,1018.5,2019-07-21
2019-07-28,1178.5,2019-07-28
2019-08-04,1044.5,2019-08-04
2019-08-11,1035.0,2019-08-11
2019-08-18,1007.5,2019-08-18
2019-08-25,615.0,2019-08-25
2019-09-01,479.5,2019-09-01
2019-09-08,671.0,2019-09-08
2019-09-15,446.5,2019-09-15
2019-09-22,458.0,2019-09-22
2019-09-29,1080.0,2019-09-29
2019-10-06,992.8,2019-10-06
2019-10-13,280.0,2019-10-13
2019-10-20,693.0,2019-10-20
2019-10-27,683.5,2019-10-27
2019-11-03,868.0,2019-11-03
2019-11-10,845.0,2019-11-10
2019-11-17,715.5,2019-11-17
2019-11-24,953.5,2019-11-24
2019-12-01,425.0,2019-12-01
2019-12-08,766.0,2019-12-08
2019-12-15,502.5,2019-12-15
2019-12-22,1207.5,2019-12-22
2019-12-29,995.5,2019-12-29
2020-01-05,177.5,2020-01-05
2020-01-12,463.5,2020-01-12
2020-01-19,689.5,2020-01-19
2020-01-26,834.5,2020-01-26
2020-02-02,18.5,2020-02-02
2020-02-09,57.5,2020-02-09
2020-02-16,237.5,2020-02-16
2020-02-23,287.9,2020-02-23
2020-03-01,340.5,2020-03-01
2020-03-08,501.0,2020-03-08
2020-03-15,1135.5,2020-03-15
2020-03-22,585.0,2020-03-22
2020-03-29,988.5,2020-03-29
2020-04-05,109.5,2020-04-05
2020-04-12,87.0,2020-04-12
2020-04-19,666.5,2020-04-19
2020-04-26,218.2,2020-04-26
2020-05-03,199.0,2020-05-03
2020-05-10,463.2,2020-05-10
2020-05-17,737.0,2020-05-17
2020-05-24,913.4,2020-05-24
2020-05-31,658.7,2020-05-31
2020-06-07,905.85,2020-06-07
2020-06-14,1121.16,2020-06-14
2020-06-21,602.3,2020-06-21
2020-06-28,862.84,2020-06-28
2020-07-05,611.5,2020-07-05
2020-07-12,1355.5,2020-07-12
2020-07-19,1151.5,2020-07-19
2020-07-26,816.5,2020-07-26
2020-08-02,1569.0,2020-08-02
2020-08-09,1214.0,2020-08-09
2020-08-16,1367.8,2020-08-16
2020-08-23,997.0,2020-08-23
2020-08-30,1963.0,2020-08-30
2020-09-06,1466.2,2020-09-06
2020-09-13,1637.5,2020-09-13
2020-09-20,1232.8,2020-09-20
2020-09-27,1415.0,2020-09-27
2020-10-04,1669.0,2020-10-04
2020-10-11,967.5,2020-10-11
2020-10-18,1061.7,2020-10-18
2020-10-25,1830.0,2020-10-25
2020-11-01,1093.5,2020-11-01
2020-11-08,1858.5,2020-11-08
2020-11-15,2385.1,2020-11-15
2020-11-22,1550.4,2020-11-22
2020-11-29,1122.2,2020-11-29
2020-12-06,1280.5,2020-12-06
2020-12-13,1411.8,2020-12-13
2020-12-20,949.8,2020-12-20
2020-12-27,1275.9,2020-12-27
2021-01-03,1351.7,2021-01-03
2021-01-10,1380.0,2021-01-10
2021-01-17,1526.5,2021-01-17
2021-01-24,859.0,2021-01-24
2021-01-31,1166.0,2021-01-31
2021-02-07,1432.0,2021-02-07
2021-02-14,1398.9,2021-02-14
2021-02-21,1116.5,2021-02-21
2021-02-28,353.5,2021-02-28
2021-03-07,801.0,2021-03-07
2021-03-14,1422.0,2021-03-14
2021-03-21,1890.5,2021-03-21
2021-03-28,1206.5,2021-03-28
2021-04-04,472.0,2021-04-04
2021-04-11,1799.6,2021-04-11
2021-04-18,2045.5,2021-04-18
2021-04-25,1840.2,2021-04-25
2021-05-02,1573.6,2021-05-02
2021-05-09,1627.73,2021-05-09
2021-05-16,2129.0,2021-05-16
2021-05-23,2468.5,2021-05-23
2021-05-30,2193.5,2021-05-30
2021-06-06,2579.4,2021-06-06
2021-06-13,2447.5,2021-06-13
2021-06-20,1537.5,2021-06-20
2021-06-27,1471.0,2021-06-27
2021-07-04,1224.0,2021-07-04
2021-07-11,1147.0,2021-07-11
2021-07-18,1832.0,2021-07-18
2021-07-25,1291.5,2021-07-25
2021-08-01,1643.5,2021-08-01
2021-08-08,1711.9,2021-08-08
2021-08-15,1659.2,2021-08-15
2021-08-22,2050.3,2021-08-22
2021-08-29,1876.5,2021-08-29
2021-09-05,2421.0,2021-09-05
2021-09-12,1911.0,2021-09-12
2021-09-19,1095.0,2021-09-19
2021-09-26,2152.0,2021-09-26
2021-10-03,1181.0,2021-10-03
2021-10-10,1299.3,2021-10-10
2021-10-17,1866.5,2021-10-17
2021-10-24,2264.5,2021-10-24
2021-10-31,2140.0,2021-10-31
2021-11-07,1152.0,2021-11-07
2021-11-14,1859.0,2021-11-14
2021-11-21,2276.0,2021-11-21
2021-11-28,1980.0,2021-11-28
2021-12-05,1736.0,2021-12-05
2021-12-12,1857.0,2021-12-12
2021-12-19,2302.75,2021-12-19
2021-12-26,2236.5,2021-12-26
2022-01-02,1672.9,2022-01-02
2022-01-09,1277.5,2022-01-09
2022-01-16,1641.1,2022-01-16
2022-01-23,3070.4,2022-01-23
2022-01-30,3093.5,2022-01-30
2022-02-06,1681.5,2022-02-06
2022-02-13,562.0,2022-02-13
2022-02-20,1150.3,2022-02-20
2022-02-27,1458.3,2022-02-27
2022-03-06,1418.6,2022-03-06
2022-03-13,1398.5,2022-03-13
2022-03-20,1587.5,2022-03-20
2022-03-27,627.6,2022-03-27
2022-04-03,1688.0,2022-04-03
2022-04-10,1307.0,2022-04-10
2022-04-17,934.5,2022-04-17
2022-04-24,1481.0,2022-04-24
2022-05-01,2330.0,2022-05-01
2022-05-08,1226.0,2022-05-08
2022-05-15,1423.0,2022-05-15
2022-05-22,2127.9,2022-05-22
2022-05-29,1283.7,2022-05-29
2022-06-05,1683.8,2022-06-05
2022-06-12,1027.5,2022-06-12
2022-06-19,1077.5,2022-06-19
2022-06-26,2503.5,2022-06-26
2022-07-03,1530.0,2022-07-03
2022-07-10,451.0,2022-07-10
2022-07-17,1341.4,2022-07-17
2022-07-24,772.9,2022-07-24
2022-07-31,969.7,2022-07-31
2022-08-07,709.7,2022-08-07
2022-08-14,465.9,2022-08-14
2022-08-21,1026.85,2022-08-21
2022-08-28,1658.05,2022-08-28
2022-09-04,2050.55,2022-09-04
2022-09-11,436.0,2022-09-11
2022-09-18,485.0,2022-09-18
2022-09-25,463.0,2022-09-25
2022-10-02,225.0,2022-10-02
2022-10-09,401.0,2022-10-09
2022-10-16,384.0,2022-10-16
2022-10-23,402.0,2022-10-23
2022-10-30,496.0,2022-10-30
2022-11-06,446.8,2022-11-06
2022-11-13,634.9,2022-11-13
2022-11-20,366.8,2022-11-20
2022-11-27,351.2,2022-11-27
2022-12-04,458.5,2022-12-04
2022-12-11,285.5,2022-12-11
2022-12-18,391.0,2022-12-18
2022-12-25,317.0,2022-12-25
2023-01-01,237.0,2023-01-01
